Ethnicity,Boy,Girl,FamilyName,SkinColor,HairColor,EyeColor,BloodType,MotherTongue,CountryofOrigin,Religion,Age_group_years,PlaceOfBirth,Motherethnicity
Australian,AADAM,AADHIYAH, Ackhurst ,0.15,0.025,0.24,0.4,1,1,0.7,0.060401056,0.7,0.3
Australian,AADAV,AADHYA, Adams ,0.4,0.05,0.44,0.31,0,0,0.27,0.063376458,0.3,0.01
Australian,AADAVAN,AADHYASRI, ADAMSON ,0.35,0.025,0.005,0.08,0,0,0.03,0.062104338,,0.3
Australian,AADEN,AADRITI, Addison ,0.1,0.05,0.005,0.02,0,0,0,0.058020634,,0.08
Australian,AADI,AADYA, Ahrens ,0,0.65,0.01,0.09,0,0,0,0.066607372,,0.07
Australian,AADNAN,AAFREEN, AITKEN ,0,0.2,0.3,0.07,0,0,0,0.074195214,,0.02
Australian,AADVIK,AAHANA, Alcock ,,,,0.02,0,0,0,0.074860367,,0.04
Australian,AAHAN,AAIMA, Alderson ,,,,0.01,0,0,1,0.071401416,,0.02
Australian,AAHIL,AAIRA, Aldridge ,,,,,0,0,,0.063046567,,0.04
Australian,AAMIR,AAKRISTY, Alexandra ,,,,,0,0,,0.065255894,,0.02
Australian,AARAF,AALEEN, Allan ,,,,,0,0,,0.060891106,,0.04
Australian,AARAN,AALEEYAH, Allardice ,,,,,0,0,,0.06057616,,0.02
Australian,AARAV,AALEYAH, Allaway ,,,,,0,,,0.055946284,,0.02
Australian,AARI,AALIAA, ALLEN ,,,,,0,,,0.049012075,,0.02
Australian,AARON,AALIAH, Allerton ,,,,,0,,,0.043011804,,
Australian,AARUSH,AALIYAH, ALLISON ,,,,,,,,0.030126054,,
Australian,AARYA,AALYAH, AMOS ,,,,,,,,0.020570816,,
Australian,AARYAN,AAMREEN, ANDERSON ,,,,,,,,0.012386088,,
Australian,AARYAV,AANIAH, Andresson ,,,,,,,,0.006185844,,
Australian,AASHIR,AANIKA, Andrew ,,,,,,,,0.001779371,,
Australian,AASIM,AARADHYA, ANDREWS ,,,,,,,,0.000245083,,
